Universitas,Prodi,Jenjang,Nilai Rata-Rata UTBK
Universitas Jember,Pendidikan Dokter,S1,708
Universitas Jember,Farmasi,S1,673
Universitas Jember,Ilmu Keperawatan,S1,669
Universitas Jember,Pendidikan Dokter Gigi,S1,663
Universitas Jember,Pendidikan Biologi,S1,662
Universitas Jember,Kesehatan Masyarakat,S1,650
Universitas Jember,Teknik Sipil,S1,626
Universitas Jember,Agribisnis,S1,601
Universitas Jember,Sistem Informasi,S1,599
Universitas Jember,Informatika,S1,597
Universitas Jember,Teknologi Informasi,S1,596
Universitas Jember,Gizi,S1,594
Universitas Jember,Teknik Mesin,S1,589
Universitas Jember,Agroteknologi / Agroekoteknologi,S1,588
Universitas Jember,Pendidikan Matematika,S1,588
Universitas Jember,Perencanaan Wilayah Dan Kota,S1,585
Universitas Jember,Pendidikan IPA,S1,584
Universitas Jember,Ilmu Tanah,S1,583
Universitas Jember,Matematika,S1,583
Universitas Jember,Teknik Pertambangan,S1,583
Universitas Jember,Teknik Elektro,S1,582
Universitas Jember,Teknologi Hasil Pertanian,S1,582
Universitas Jember,Teknologi Industri Pertanian,S1,580
Universitas Jember,Biologi,S1,579
Universitas Jember,Teknik Lingkungan,S1,575
Universitas Jember,Teknik Perminyakan,S1,575
Universitas Jember,Teknik Pertanian,S1,572
Universitas Jember,Kimia,S1,567
Universitas Jember,Peternakan,S1,565
Universitas Jember,Teknik Kimia,S1,560
Universitas Jember,Fisika,S1,559
Universitas Jember,Ilmu Pertanian,S1,554
Universitas Jember,Pendidikan Fisika,S1,552
Universitas Jember,Proteksi Tanaman,S1,550
Universitas Jember,Agronomi,S1,549
Universitas Jember,Penyuluhan Pertanian,S1,542
Universitas Jember,Teknik Konstruksi Perkapalan,S1,541
Universitas Jember,Ilmu Hukum,S1,661
Universitas Jember,Manajemen,S1,661
Universitas Jember,Ilmu Administrasi Bisnis,S1,642
Universitas Jember,Akuntansi,S1,639
Universitas Jember,Pendidikan Guru Sekolah Dasar,S1,623
Universitas Jember,Hubungan Internasional,S1,618
Universitas Jember,Ilmu Administrasi Negara,S1,611
Universitas Jember,Sosiologi,S1,605
Universitas Jember,Ilmu Kesejahteraan Sosial,S1,602
Universitas Jember,Ekonomi Pembangunan,S1,601
Universitas Jember,Pendidikan Ekonomi,S1,595
Universitas Jember,Pendidikan Bhs. & Sastra Indo.,S1,594
Universitas Jember,Sastra Inggris,S1,593
Universitas Jember,Televisi & Film,S1,593
Universitas Jember,Pendidikan Bahasa Inggris,S1,589
Universitas Jember,Ekonomi Syariah,S1,587
Universitas Jember,Pendidikan Sejarah,S1,580
Universitas Jember,Ilmu Sejarah,S1,574
Universitas Jember,Sastra Indonesia,S1,574
Universitas Jember,Pendidikan Geografi,S1,567
Universitas Jember,PG PAUD,S1,567
Universitas Jember,Pend. Guru Sekolah Dasar Kampus Bondowoso,S1,562
Universitas Jember,Pendidikan Luar Sekolah,S1,561
Universitas Jember,Ekonomi Syariah Kampus Bondowoso,S1,553
Universitas Negeri Jakarta,Ilmu Komputer,S1,676
Universitas Negeri Jakarta,Sistem Dan Teknologi Informasi,S1,652
Universitas Negeri Jakarta,Statistika,S1,600
Universitas Negeri Jakarta,Pendidikan Matematika,S1,599
Universitas Negeri Jakarta,Teknik Mesin,S1,599
Universitas Negeri Jakarta,Pendidikan Informatika,S1,598
Universitas Negeri Jakarta,Biologi,S1,597
Universitas Negeri Jakarta,Pendidikan Biologi,S1,597
Universitas Negeri Jakarta,Matematika,S1,594
Universitas Negeri Jakarta,Kimia,S1,585
Universitas Negeri Jakarta,Fisika,S1,582
Universitas Negeri Jakarta,Pendidikan Vokasional Konstruksi Bangunan,S1,578
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Elektro,S1,574
Universitas Negeri Jakarta,Pendidikan Kimia,S1,564
Universitas Negeri Jakarta,Rekayasa Keselamatan Kebakaran,S1,564
Universitas Negeri Jakarta,Pendidikan Fisika,S1,563
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Elektronika,S1,559
Universitas Negeri Jakarta,Pendidikan Vokasional Teknik Mesin,S1,555
Universitas Negeri Jakarta,Ilmu Keolahragaan,S1,554
Universitas Negeri Jakarta,Psikologi,S1,716
Universitas Negeri Jakarta,Manajemen,S1,710
Universitas Negeri Jakarta,Ilmu Komunikasi,S1,709
Universitas Negeri Jakarta,Bisnis Digital,S1,689
Universitas Negeri Jakarta,Pendidikan Guru Sekolah Dasar,S1,683
Universitas Negeri Jakarta,Akuntansi,S1,682
Universitas Negeri Jakarta,Sastra Inggris,S1,678
Universitas Negeri Jakarta,Pendidikan Vokasional Seni Kuliner,S1,669
Universitas Negeri Jakarta,Sosiologi,S1,663
Universitas Negeri Jakarta,Pendidikan Administrasi Perkantoran,S1,661
Universitas Negeri Jakarta,Pendidikan Agama Islam,S1,656
Universitas Negeri Jakarta,Bimbingan & Konseling,S1,628
Universitas Negeri Jakarta,Pendidikan Bahasa Inggris,S1,622
Universitas Negeri Jakarta,Pendidikan Vokasional Tata Rias,S1,621
Universitas Negeri Jakarta,Pendidikan Bisnis,S1,619
Universitas Negeri Jakarta,Pendidikan Vokasional Desain Fashion,S1,619
Universitas Negeri Jakarta,Pendidikan Ekonomi,S1,617
Universitas Negeri Jakarta,Sastra Indonesia,S1,611
Universitas Negeri Jakarta,Manajemen Pendidikan,S1,607
